#          Step             alpha              3_10                pi              beta                SS             other             total
           0.00                 0                 0                 0                 0                 0                 0                 0
          50.00                 0                 0                 0                 0                 0                 0                 0
         100.00                 0                 0                 0                 0                 0                 0                 0
         150.00                 0                 0                 0                 0                 0                 0                 0
         200.00                 0                 0                 0                 0                 0                 0                 0
         250.00                 0                 0                 0                 0                 0                 0                 0
         300.00                 0                 0                 0                 0                 0                 0                 0
         350.00                 0                 0                 0                 0                 0                 0                 0
         400.00                 0                 0                 0                 0                 0                 0                 0
         450.00                 0                 0                 0                 0                 0                 0                 0
         500.00                 0                 0                 0                 0                 0                 0                 0
         550.00                 0                 0                 0                 0                 0                 0                 0
         600.00                 0                 0                 0                 0                 0                 0                 0
         650.00                 0                 0                 0                 0                 0                 0                 0
         700.00                 0                 0                 0                 0                 0                 0                 0
         750.00                 0                 0                 0                 0                 0                 0                 0
         800.00                 0                 0                 0                 0                 0                 0                 0
         850.00                 0                 0                 0                 0                 0                 0                 0
         900.00                 0                 0                 0                 0                 0                 0                 0
         950.00                 0                 0                 0                 0                 0                 0                 0
        1000.00                 0                 0                 0                 0                 0                 0                 0
        1050.00                 0                 0                 0                 0                 0                 0                 0
        1100.00                 0                 0                 0                 0                 0                 0                 0
        1150.00                 0                 0                 0                 0                 0                 0                 0
        1200.00                 0                 0                 0                 0                 0                 0                 0
        1250.00                 0                 0                 0                 0                 0                 0                 0
        1300.00                 0                 0                 0                 0                 0                 0                 0
        1350.00                 0                 0                 0                 0                 0                 0                 0
        1400.00                 0                 0                 0                 0                 0                 0                 0
        1450.00                 0                 0                 0                 0                 0                 0                 0
        1500.00                 0                 0                 0                 0                 0                 0                 0
        1550.00                 0                 0                 0                 0                 0                 0                 0
        1600.00                 0                 0                 0                 0                 0                 0                 0
        1650.00                 0                 0                 0                 0                 0                 0                 0
        1700.00                 0                 0                 0                 0                 0                 0                 0
        1750.00                 0                 0                 0                 0                 0                 0                 0
        1800.00                 0                 0                 0                 0                 0                 0                 0
        1850.00                 0                 0                 0                 0                 0                 0                 0
        1900.00                 0                 0                 0                 0                 0                 0                 0
        1950.00                 0                 0                 0                 0                 0                 0                 0
        2000.00                 0                 0                 0                 0                 0                 0                 0
        2050.00                 0                 0                 0                 0                 0                 0                 0
        2100.00                 0                 0                 0                 0                 0                 0                 0
        2150.00                 0                 0                 0                 0                 0                 0                 0
        2200.00                 0                 0                 0                 1                 0                 0                 1
        2250.00                 0                 0                 0                 0                 0                 1                 1
        2300.00                 0                 0                 0                 0                 0                 1                 1
        2350.00                 0                 0                 0                 0                 0                 1                 1
        2400.00                 0                 0                 0                 0                 0                 1                 1
        2450.00                 0                 0                 0                 0                 0                 1                 1
        2500.00                 0                 0                 0                 0                 0                 1                 1
        2550.00                 0                 0                 0                 0                 0                 1                 1
        2600.00                 0                 0                 0                 1                 0                 0                 1
        2650.00                 0                 0                 0                 0                 0                 1                 1
        2700.00                 0                 0                 0                 0                 0                 0                 0
        2750.00                 0                 0                 0                 0                 0                 0                 0
        2800.00                 0                 0                 0                 0                 0                 0                 0
        2850.00                 0                 0                 0                 0                 0                 0                 0
        2900.00                 0                 0                 0                 0                 0                 0                 0
        2950.00                 0                 0                 0                 0                 0                 0                 0
        3000.00                 0                 0                 0                 0                 0                 0                 0
        3050.00                 0                 0                 0                 0                 0                 0                 0
        3100.00                 0                 0                 0                 0                 0                 0                 0
        3150.00                 0                 0                 0                 0                 0                 0                 0
        3200.00                 0                 0                 0                 0                 0                 0                 0
        3250.00                 0                 0                 0                 0                 0                 0                 0
        3300.00                 0                 0                 0                 0                 0                 0                 0
        3350.00                 0                 0                 0                 0                 0                 0                 0
        3400.00                 0                 0                 0                 0                 0                 0                 0
        3450.00                 0                 0                 0                 0                 0                 0                 0
        3500.00                 0                 0                 0                 0                 0                 0                 0
        3550.00                 0                 0                 0                 0                 0                 0                 0
        3600.00                 0                 0                 0                 0                 0                 0                 0
        3650.00                 0                 0                 0                 0                 0                 0                 0
        3700.00                 0                 0                 0                 0                 0                 0                 0
        3750.00                 0                 0                 0                 0                 0                 0                 0
        3800.00                 0                 0                 0                 0                 0                 0                 0
        3850.00                 0                 0                 0                 0                 0                 0                 0
        3900.00                 0                 0                 0                 0                 0                 0                 0
        3950.00                 0                 0                 0                 0                 0                 0                 0
        4000.00                 0                 0                 0                 0                 0                 0                 0
        4050.00                 0                 0                 0                 0                 0                 0                 0
        4100.00                 0                 0                 0                 0                 0                 0                 0
        4150.00                 0                 0                 0                 0                 0                 0                 0
        4200.00                 0                 0                 0                 0                 0                 0                 0
        4250.00                 0                 0                 0                 0                 0                 0                 0
        4300.00                 0                 0                 0                 0                 0                 0                 0
        4350.00                 0                 0                 0                 0                 0                 0                 0
        4400.00                 0                 0                 0                 0                 0                 0                 0
        4450.00                 0                 0                 0                 0                 0                 0                 0
        4500.00                 0                 0                 0                 0                 0                 0                 0
        4550.00                 0                 0                 0                 0                 0                 0                 0
        4600.00                 0                 0                 0                 0                 0                 0                 0
        4650.00                 0                 0                 0                 0                 0                 0                 0
        4700.00                 0                 0                 0                 0                 0                 0                 0
        4750.00                 0                 0                 0                 0                 0                 0                 0
        4800.00                 0                 0                 0                 0                 0                 0                 0
        4850.00                 0                 0                 0                 0                 0                 0                 0
        4900.00                 0                 0                 0                 0                 0                 0                 0
        4950.00                 0                 0                 0                 0                 0                 0                 0
        5000.00                 0                 0                 0                 0                 0                 0                 0
        5050.00                 0                 0                 0                 0                 0                 0                 0
        5100.00                 0                 0                 0                 0                 0                 0                 0
        5150.00                 0                 0                 0                 0                 0                 0                 0
        5200.00                 0                 0                 0                 0                 0                 0                 0
        5250.00                 0                 0                 0                 0                 0                 0                 0
        5300.00                 0                 0                 0                 0                 0                 0                 0
        5350.00                 0                 0                 0                 0                 0                 0                 0
        5400.00                 0                 0                 0                 0                 0                 0                 0
        5450.00                 0                 0                 0                 0                 0                 0                 0
        5500.00                 0                 0                 0                 0                 0                 0                 0
        5550.00                 0                 0                 0                 0                 0                 0                 0
        5600.00                 0                 0                 0                 0                 0                 0                 0
        5650.00                 0                 0                 0                 0                 0                 0                 0
        5700.00                 0                 0                 0                 0                 0                 0                 0
        5750.00                 0                 0                 0                 0                 0                 0                 0
        5800.00                 0                 0                 0                 0                 0                 0                 0
        5850.00                 0                 0                 0                 0                 0                 0                 0
        5900.00                 0                 0                 0                 0                 0                 0                 0
        5950.00                 0                 0                 0                 0                 0                 0                 0
        6000.00                 0                 0                 0                 0                 0                 0                 0
        6050.00                 0                 0                 0                 0                 0                 0                 0
        6100.00                 0                 0                 0                 0                 0                 0                 0
        6150.00                 0                 0                 0                 0                 0                 0                 0
        6200.00                 0                 0                 0                 0                 0                 0                 0
        6250.00                 0                 0                 0                 0                 0                 0                 0
        6300.00                 0                 0                 0                 0                 0                 0                 0
        6350.00                 0                 0                 0                 0                 0                 0                 0
        6400.00                 0                 0                 0                 0                 0                 0                 0
        6450.00                 0                 0                 0                 0                 0                 0                 0
        6500.00                 0                 0                 0                 0                 0                 0                 0
        6550.00                 0                 0                 0                 0                 0                 0                 0
        6600.00                 0                 0                 0                 0                 0                 0                 0
        6650.00                 0                 0                 0                 0                 0                 0                 0
        6700.00                 0                 0                 0                 0                 0                 0                 0
        6750.00                 0                 0                 0                 0                 0                 0                 0
        6800.00                 0                 0                 0                 0                 0                 0                 0
        6850.00                 0                 0                 0                 0                 0                 0                 0
        6900.00                 0                 0                 0                 0                 0                 0                 0
        6950.00                 0                 0                 0                 0                 0                 0                 0
        7000.00                 0                 0                 0                 0                 0                 0                 0
        7050.00                 0                 0                 0                 0                 0                 0                 0
        7100.00                 0                 0                 0                 0                 0                 0                 0
        7150.00                 0                 0                 0                 0                 0                 0                 0
        7200.00                 0                 0                 0                 0                 0                 0                 0
        7250.00                 0                 0                 0                 0                 0                 0                 0
        7300.00                 0                 0                 0                 0                 0                 0                 0
        7350.00                 0                 0                 0                 0                 0                 0                 0
        7400.00                 0                 0                 0                 0                 0                 0                 0
        7450.00                 0                 0                 0                 0                 0                 0                 0
        7500.00                 0                 0                 0                 0                 0                 0                 0
        7550.00                 0                 0                 0                 0                 0                 0                 0
        7600.00                 0                 0                 0                 0                 0                 0                 0
        7650.00                 0                 0                 0                 0                 0                 0                 0
        7700.00                 0                 0                 0                 0                 0                 0                 0
        7750.00                 0                 0                 0                 0                 0                 0                 0
        7800.00                 0                 0                 0                 0                 0                 0                 0
        7850.00                 0                 0                 0                 0                 0                 0                 0
        7900.00                 0                 0                 0                 0                 0                 0                 0
        7950.00                 0                 0                 0                 0                 0                 0                 0
        8000.00                 0                 0                 0                 0                 0                 0                 0
        8050.00                 0                 0                 0                 0                 0                 0                 0
        8100.00                 0                 0                 0                 0                 0                 0                 0
        8150.00                 0                 0                 0                 0                 0                 0                 0
        8200.00                 0                 0                 0                 0                 0                 0                 0
        8250.00                 0                 0                 0                 0                 0                 0                 0
        8300.00                 0                 0                 0                 0                 0                 0                 0
        8350.00                 0                 0                 0                 0                 0                 0                 0
        8400.00                 0                 0                 0                 0                 0                 0                 0
        8450.00                 0                 0                 0                 0                 0                 0                 0
        8500.00                 0                 0                 0                 0                 0                 0                 0
        8550.00                 0                 0                 0                 0                 0                 0                 0
        8600.00                 0                 0                 0                 0                 0                 0                 0
        8650.00                 0                 0                 0                 0                 0                 0                 0
        8700.00                 0                 0                 0                 0                 0                 0                 0
        8750.00                 0                 0                 0                 0                 0                 0                 0
        8800.00                 0                 0                 0                 0                 0                 0                 0
        8850.00                 0                 0                 0                 0                 0                 0                 0
        8900.00                 0                 0                 0                 0                 0                 0                 0
        8950.00                 0                 0                 0                 0                 0                 0                 0
        9000.00                 0                 0                 0                 0                 0                 0                 0
        9050.00                 0                 0                 0                 0                 0                 0                 0
        9100.00                 0                 0                 0                 0                 0                 0                 0
        9150.00                 0                 0                 0                 0                 0                 0                 0
        9200.00                 0                 0                 0                 0                 0                 0                 0
        9250.00                 0                 0                 0                 0                 0                 0                 0
        9300.00                 0                 0                 0                 0                 0                 0                 0
        9350.00                 0                 0                 0                 0                 0                 0                 0
        9400.00                 0                 0                 0                 0                 0                 0                 0
        9450.00                 0                 0                 0                 0                 0                 0                 0
        9500.00                 0                 0                 0                 0                 0                 0                 0
        9550.00                 0                 0                 0                 0                 0                 0                 0
        9600.00                 0                 0                 0                 0                 0                 0                 0
        9650.00                 0                 0                 0                 0                 0                 0                 0
        9700.00                 0                 0                 0                 0                 0                 0                 0
        9750.00                 0                 0                 0                 0                 0                 0                 0
        9800.00                 0                 0                 0                 0                 0                 0                 0
        9850.00                 0                 0                 0                 0                 0                 0                 0
        9900.00                 0                 0                 0                 0                 0                 0                 0
        9950.00                 0                 0                 0                 0                 0                 0                 0
       10000.00                 0                 0                 0                 0                 0                 0                 0
       10050.00                 0                 0                 0                 0                 0                 0                 0
       10100.00                 0                 0                 0                 0                 0                 0                 0
       10150.00                 0                 0                 0                 0                 0                 0                 0
       10200.00                 0                 0                 0                 0                 0                 0                 0
       10250.00                 0                 0                 0                 0                 0                 0                 0
       10300.00                 0                 0                 0                 0                 0                 0                 0
       10350.00                 0                 0                 0                 0                 0                 0                 0
       10400.00                 0                 0                 0                 0                 0                 0                 0
       10450.00                 0                 0                 0                 0                 0                 0                 0
       10500.00                 0                 0                 0                 0                 0                 0                 0
       10550.00                 0                 0                 0                 0                 0                 0                 0
       10600.00                 0                 0                 0                 0                 0                 0                 0
       10650.00                 0                 0                 0                 0                 0                 0                 0
       10700.00                 0                 0                 0                 0                 0                 0                 0
       10750.00                 0                 0                 0                 0                 0                 0                 0
       10800.00                 0                 0                 0                 0                 0                 0                 0
       10850.00                 0                 0                 0                 0                 0                 0                 0
       10900.00                 0                 0                 0                 0                 0                 0                 0
       10950.00                 0                 0                 0                 0                 0                 0                 0
